"Designator","Footprint","X","Y","Rotation","Value"
"1UF2","0603","49.57","11.13","  0",""
"C1","PANASONIC_C","18.81","27.06","270","47uF"
"C2","PANASONIC_C","12.03","27.06","270","100uF"
"C4","0805","22.04"," 2.45","  0","10uF"
"C5","0603","13.80","11.99","  0","1uF"
"D1","SMA-DIODE","27.97","14.62","270","3A/40V/500mV"
"D2","SMA-DIODE","39.56","12.81"," 90","3A/40V/500mV"
"D3","SMA-DIODE","31.69","12.45"," 90","3A/40V/500mV"
"D6","CHIPLED_0805","41.56"," 8.32","270",""
"F1","1812","27.88","23.75","180","TLC-MSMD110/24"
"IC4","PT4115","44.52","12.32","  0",""
"J1","USB-B-MICRO-SMD","32.83"," 3.39"," 90",""
"L1","INDUCTOR_6X6MM_TDK_VLC6045","13.22"," 6.15","180",""
"LED-1","LUXEON","64.88","17.70"," 90","LUXEONSMD"
"LED-2","LUXEON","36.00","29.08","180","LUXEONSMD"
"LED-3","LUXEON"," 6.39","17.70","270","LUXEONSMD"
"R1","1206","41.98","22.48","  0","2k"
"R2","1206","44.57","16.79","180","0.3"
"R6","R0805","37.37"," 8.32","180",""
"U1","SOIC127P600X160-14N","49.61"," 5.27"," 90","ATSAMD11C14A-SSUT"
"U3","SOT230P700X180-4N","22.53"," 8.63","180","LDL1117S12R"
